Venda.Código,Venda.Data,Produto.Código,Produto,Quantidade,Produto.Fornecedor,Custo Total,Venda.Valor Total Desconto,Valor Total,Pagamento
850,15/04/2025,C6,C6 - CANETA FOFA LUXO / APAGAVEL,2,AP BRAS OU MERCADO LIVRE," R$  7,00 "," R$  2,00 "," R$  27,59 ",Dinheiro
849,15/04/2025,630,0630 - PESCOCEIRA PERSONAGEM,1,AP BRAS OU MERCADO LIVRE," R$  29,00 ", R$  -   ," R$  79,00 ",Cartão de Crédito
849,15/04/2025,69,0069 - TAG MALA MICKEY MINNIE,1,MINAS DE PRESENTES LTDA," R$  8,13 ", R$  -   ," R$  33,00 ",Cartão de Crédito
848,14/04/2025,620,0620 - SOMBRINHA / GUARDA CHUVA,1,AP BRAS OU MERCADO LIVRE," R$  8,00 ", R$  -   ," R$  30,00 ",Cartão de Débito
847,12/04/2025,265,0265 - LATA PORTA JOIAS - POR ONDE FOR FLORESCA,1,BRASFOOT," R$  19,98 ", R$  -   ," R$  49,00 ",Dinheiro
847,12/04/2025,426,0426 - CANECO VIDRO CERVEJISTA,1,UATT PRESENTES IMPORTADOS," R$  18,13 ", R$  -   ," R$  49,00 ",Dinheiro
846,12/04/2025,460,0460 - COPO TERMICO 500ML FOREVER BRANCO,1,ZONA CRIATIVA," R$  34,50 ", R$  -   ," R$  89,00 ",Cartão de Crédito
845,11/04/2025,167,0167 - CHAVEIRO EMBORR DIVERSOS M,1,AP BRAS OU MERCADO LIVRE," R$  2,80 ", R$  -   ," R$  8,50 ",Dinheiro
844,11/04/2025,440,0440 - CANECA MINI TINA 100ML FRASES,1,ZONA CRIATIVA," R$  14,90 ", R$  -   ," R$  35,00 ",Dinheiro
844,11/04/2025,612,"0612 - GARRAFA WHEY 1,8LT ESTILO DE VIDA",1,ZONA CRIATIVA," R$  19,90 ", R$  -   ," R$  65,00 ",Dinheiro
843,11/04/2025,324,0324 - ALMOFADA VELUDO 20X40 MICKEY HQ COLORS,1,ZONA CRIATIVA," R$  17,01 "," R$  2,95 "," R$  56,05 ",PIX
842,10/04/2025,C5,C5 - CANETA LAPIS INFINITO PERSONAGENS,1,AP BRAS OU MERCADO LIVRE," R$  4,00 ", R$  -   ," R$  13,50 ",Cartão de Débito
841,10/04/2025,620,0620 - SOMBRINHA / GUARDA CHUVA,2,AP BRAS OU MERCADO LIVRE," R$  16,00 ", R$  -   ," R$  60,00 ",Cartão de Crédito
840,08/04/2025,C9,C9 - CANETA FOFA STITCH / SPIN / PELUCIA,2,AP BRAS OU MERCADO LIVRE," R$  12,00 "," R$  3,00 "," R$  45,00 ",Cartão de Débito
839,07/04/2025,26,0026 - LIXEIRA CARRO ESPOSA NEOPRENE,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  18,90 "," R$  10,50 "," R$  31,50 ",Cartão de Crédito
838,07/04/2025,320,0320 - CANECA STONE 450ML CAFE E AMOR,1,ZONA CRIATIVA," R$  26,51 ", R$  -   ," R$  79,00 ",Cartão de Crédito
837,07/04/2025,70,0070 - TAG MALA FROZEN,1,MINAS DE PRESENTES LTDA," R$  5,99 ", R$  -   ," R$  29,00 ",Cartão de Débito
836,07/04/2025,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 ", R$  -   ," R$  14,50 ",Dinheiro
835,05/04/2025,653,0653 - CANECA STONE 400ML CAFE,1,ZONA CRIATIVA," R$  32,90 ", R$  -   ," R$  79,00 ",Cartão de Crédito
